Well_Name,WellType_Name,WellClass_Name,Total_Dept,SPud_Date,Remarks,Production Completed
MEREN-37,Oil Producer,DEV,2693,Apr 12/71,,
MEREN-38,Oil Producer,DEV,2032,Nov 07/71,,
MEREN-39,Oil Producer,DEV,2063,Nov 17/71,,
MEREN-4,Oil Producer,DEV,2434,May 31/66,,
MEREN-40,Oil Producer,DEV,2153,Dec 09/71,,
MEREN-41,Oil Producer,DEV,1937,Dec 20/71,,
MEREN-41ST,Oil Producer,DEV,2423,Sep 11/01,,
MEREN-42,Oil Producer,DEV,2260,Feb 03/72,,
MEREN-42E,Oil Producer,DEV,,Jan 29/08,,
MEREN-43,Oil Producer,DEV,2009,Feb 14/72,,
MEREN-44,Oil Producer,DEV,2300,Aug 20/72,,
MEREN-45,Oil Producer,DEV,2301,Sep 22/72,,
MEREN-46,Oil Producer,DEV,1890,Oct 08/72,,
MEREN-47,Oil Producer,DEV,2024,Oct 18/72,,
MEREN-48,Oil Producer,DEV,2480,Mar 23/73,,
MEREN-49,Oil Producer,DEV,2137,Apr 04/73,,
MEREN-5,Oil Producer,DEV,2484,Mar 15/67,,
MEREN-50,Oil Producer,DEV,1951,Jan 16/74,,
MEREN-51,Oil Producer,DEV,1935,Jan 26/74,,
MEREN-52,Oil Producer,DEV,1981,Feb 19/74,,
MEREN-52HST,Oil Producer,DEV,2387,Nov 21/00,,
MEREN-53,Oil Producer,DEV,2179,Mar 02/74,,
MEREN-54,Oil Producer,DEV,2499,Apr 03/74,,
MEREN-55,Not Applicable,ORD APP,2580,Aug 08/76,,
MEREN-56,Oil Producer,DEV,2667,Apr 03/77,,
MEREN-57,Oil Producer,DEV,2012.9,Nov 11/78,,
MEREN-58,Oil Producer,DEV,1818,Jan 26/83,,
MEREN-59,Water Injector,DEV,1844,Feb 15/83,,
MEREN-6,Oil Producer,DEV,2436,Jul 04/66,,
MEREN-60,Water Injector,DEV,2145.2,Feb 27/83,,
MEREN-61,Water Injector,DEV,2012,Mar 02/83,,
MEREN-62,Water Injector,DEV,1810,Mar 13/83,,
MEREN-63,Water Injector,DEV,2048.3,Mar 13/83,,
MEREN-64,Water Injector,DEV,2283.3,Mar 22/83,,
MEREN-65,Oil Producer,DEV,2932,Aug 01/90,,
MEREN-66,Oil Producer,DEV,3577,May 31/91,,
MEREN-67,Oil Producer,DEV,3152,Apr 05/91,,
MEREN-68,Oil Producer,DEV,2498,Nov 09/91,,
MEREN-69,Oil Producer,DEV,3310,Feb 26/92,,
MEREN-7,Oil Producer,DEV,2431,Jun 18/66,,
MEREN-70,Oil Producer,DEV,3195,Mar 01/92,,
MEREN-71,Oil Producer,DEV,2223,Sep 10/92,,
MEREN-72,Oil Producer,DEV,2295,Sep 12/92,,
MEREN-73,Oil Producer,DEV,3436,Oct 12/92,,
MEREN-74,Oil Producer,DEV,2937,Jun 09/93,,
MEREN-75,Oil Producer,DEV,1930,Oct 23/93,,
MEREN-76,Oil Producer,DEV,2148,Aug 26/95,,
MEREN-77,Oil Producer,DEV,3988,Mar 11/96,,
MEREN-78,Oil Producer,DEV,2049,Mar 09/96,,
MEREN-79,Water Injector,DEV,2133.6,Jun 06/96,,
MEREN-8,Oil Producer,DEV,2445,Jul 28/66,,
MEREN-80,Oil Producer,DEV,2212,Jul 02/96,,
MEREN-81H,Oil Producer,DEV,2360,Jan 21/97,,
MEREN-82,Oil Producer,DEV,2480,Nov 15/97,,
MEREN-83,Oil Producer,DEV,2657,Nov 17/98,,
MEREN-84I,Water Injector,DEV,1838,Jun 13/99,,
MEREN-84IST,Water Injector,DEV,2130,Apr 30/03,,
MEREN-85,Oil Producer,DEV,2492,Jun 27/00,,
MEREN-86,Oil Producer,DEV,2606,Jun 30/00,,
MEREN-87H (23C-H),Oil Producer,DEV,2761,Aug 19/00,,
MEREN-88H (23B-H),Oil Producer,DEV,2473,Aug 18/00,,
MEREN-89 (77E),Oil Producer,DEV,2201,Aug 29/00,,
MEREN-9,Oil Producer,DEV,2500,Jan 04/67,,
MEREN-92 (33ST),Oil Producer,DEV,2389,Feb 24/01,,
MEREN-93 (6ST),Oil Producer,DEV,2630,May 03/01,,
MEREN-94HST (46STH),Oil Producer,DEV,2359,May 21/01,,
MEREN-95I (52E),Water Injector,DEV,2112,Jul 15/01,,
MEREN-96H (45-DH),Oil Producer,DEV,2768,Aug 24/01,,
MEREN-97H (45EH),Oil Producer,DEV,2765,Aug 27/01,,
MEREN-98H,Oil Producer,DEV,2403,Sep 29/01,,
MEREN-99H,Oil Producer,DEV,2544,Oct 02/01,,
MESAN-1,Not Applicable,EXP,2743.2,Dec 10/65,,
MESAN-2,Not Applicable,ORD APP,3229,Apr 23/79,,
META-1,Not Applicable,EXP,1074,Jan 05/65,,
META-1A,Not Applicable,EXP,3627,Jan 11/65,,
META-2,Not Applicable,EXP,1512,May 11/76,,
META-3,Not Applicable,ORD APP,3427,Oct 30/91,,
MFAMFA-1,Not Applicable,EXP,1995.2,Sep 05/84,,
MFEM -8B RD,Oil Producer,DEV,3673,01.05.2008,,
MFEM -9B RD,Oil Producer,DEV,1972,11.05.2009,,
MFEM EAST-1,Not Applicable,EXP,2306.1,Apr 19/78,,
MFEM SOUTHEAST-1,Not Applicable,EXP,2359.5,Nov 03/80,,
MFEM-1,Not Applicable,EXP,2235,Dec 20/67,,
MFEM-10B,Oil Producer,DEV,2088,Jul 29/97,,
MFEM-11B,Oil Producer,DEV,2506,Jul 29/97,,
MFEM-12,Not Applicable,ORD APP,2589,Jun 08/99,,
MFEM-13,Not Applicable,ORD APP,2589,Jun 08/99,,
MFEM-14,Not Applicable,ORD APP,2620,Jun 08/99,,
MFEM-15B,Oil Producer,DEV,3958,May 23/06,,
MFEM-16B,Oil Producer,DEV,4048,May 31/06,,
MFEM-17B,Oil Producer,DEV,4000,Jun 06/06,,
MFEM-2,Not Applicable,ORD APP,2431,Jan 19/73,,
MFEM-3A,Not Applicable,ORD APP,2445,Dec 20/75,,
MFEM-4A,Oil Producer,DEV,2260,Jan 11/76,,
MFEM-5A,Oil Producer,DEV,1807,Feb 03/76,,
MFEM-6,Not Applicable,ORD APP,3208,Oct 02/93,,
MFEM-6ST,Not Applicable,ORD APP,2513,Nov 02/93,,
MFEM-7,Not Applicable,ORD APP,3353,Dec 20/93,,
MFEM-8B,Oil Producer,DEV,2702,Jul 28/97,,
MFEM-9B,Oil Producer,DEV,2390,Jul 28/97,,
MFON-1,Not Applicable,EXP,2801,Jun 04/93,,
MFONISO-1,Not Applicable,EXP,2458.5,Nov 17/81,,
MFONISO-2,Not Applicable,ORD APP,2866,Mar 15/83,,
