Field_Name,Block_Name,Zone_Name
IGUELABA,OML 38,
IHEOMA,OML 53,
IJOMI,OML 38,
IKIKE,OML 99,
IKONG,OML 100,
IMA,OML 112 /OML 117,
IME,OML 100,
IMO RIVER,OML 11,
INANGA,OML 68,
INDA,OML 55,
INIM,OML 67,
INUEN,OML 67,
IRIGBO,OML 42,
IRRI-OLEH,OML 61,
ISAN,OML 49,
ISANTIM,OML 101,
ISENI,OML 35,
ISIA,OML 23,
ISIMIRI,OML 11,
ISOBA,OML 17,
ISOBO,OML 67,
ISOBO NORTH WEST H,OML 67,
ISOKO,OML 26,
ISOKO SOUTH,OML 61,
ISONSI,OML 67,
ISU,OML 17,
ISUO,OML 104,
ITUT,OML 67,
ITUT NORTH,OML 67,
IZOMBE,OML 124,
IZOMINI,OML 17,
JD,OML 17,
JESSE,OML 38,
JISIKE,OML 53,
JK,OML 74,
JN,OML 74,
JO,OML 74,
JOKKA,OML 55,
JONES CREEK,OML 42,
KABIAMA,OML 31,
KAKA,OML 90,
KALAEKULE,OML 72,
KAMETA,OML 35,
KANBO,OML 46,
KANUSKIRI,OML 66,
KAPPA,OML 72,
KD,OML 72,
KE,OML 55,
KE SOUTH,OML 55,
KF,OML 72,
KG,OML 72,
KH,OML 72,
KI,OML 71,
KI SOUTH,OML 71,
KITA MARINE,OML 123,
KITA NORTH,OML 123,
KITO,OML 49,
KK SOUTH,OML 141,
KL,OML 72,
KOKORI,OML 30,
KOLO CREEK,OML 28,
KOLOBIRI,OML 31,
KONYE,OML72,
KOROAMA,OML 28,
KOROKORO,OML 11,
KOROLEI,OML 46,
KORONAMA,OML 72,
KQ,OML 72,
KR,OML 72,
KRAKAMA,OML 18,
KUDO,OML 89,
KUGBE,OML 72,
KUGBO W,OML 29,
KUKAKU,OML 64,
KULA,OML141,
KUMBOWEI,OML 31,
KURI,OML 49,
KUROGBA,OML 66,
KWALE,OML 60,
KWALE EAST,OML 60,
LETUGBENE,OML 46,
LLL,OML 100,
MADU,OML 85,
MAHIN,OML95,
MAKARABA,OML 49,
MALU,OML 95,
