RCNumber,name,CanonialName,address
,SAHARA ENERGY AFRICAN OIL & GAS,,
,TENNECO,,
,TFE EP GQ,,
,BRASS OIL SERVICES,,
,BRITISH PETROLEUM,,
,DU PONTE,,
,E.A. NG SERVICES,,
,NIGERIAN BITUMEN COP,,
,OXY PETROLEUM,,
,TOTAL UPSTREAM NIGERIA,,
,,,
,,,
,,,
,DEMINEX,,
,BAYELSA OIL & GAS,,
