72,ABITEYE-5,Oil Producer,2992,,6,0,Apr/14/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
73,ABITEYE-6,Oil Producer,2728,,6,0,Sep/11/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
74,ABITEYE-7,Oil Producer,2908,,6,0,Oct/05/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
75,ABITEYE-8,Oil Producer,2909,,6,0,Oct/22/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
76,ABITEYE-9,Oil Producer,2859,,6,0,Dec/23/1971,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
77,ABO NORTH-1,Not Applicable,2065,,8,0,Nov/13/1998,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
78,ABO-1,Not Applicable,3003,,856,0,Nov/15/1995,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
79,ABO-10,Oil Producer,2630,,856,0,Dec/02/2006,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
80,ABO-11DIR,Oil Producer,,,856,0,Jul/13/2008,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
81,ABO-1ST1,Not Applicable,3010,,856,0,Jan/01/1996,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
82,ABO-2,Not Applicable,2400,,856,0,Jun/07/1996,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
83,ABO-3,Not Applicable,2045,,856,0,Nov/16/2000,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
84,ABO-4 DIR,Oil Producer,2170,,856,0,Jul/22/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
85,ABO-4 DIR ST1,Oil Producer,2290,,856,0,Aug/05/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
86,ABO-4H,Oil Producer,2695,,856,0,Aug/25/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
87,ABO-5,Water Injector,3000,,856,0,Sep/10/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
88,ABO-6,Water Injector,2621,,856,0,Oct/09/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
89,ABO-7,Water Injector,3348,,856,0,Dec/08/2002,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
90,ABO-8,Not Applicable,2365,,856,0,Apr/26/2005,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
91,ABO-9,Water Injector,,,856,0,Apr/15/2008,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
92,ABOH-1,Not Applicable,4022.5,,9,0,Sep/26/1961,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
93,ABRAKA-1,Not Applicable,2488,,10,0,Nov/05/1966,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
94,ABRAKA-1ST1,Not Applicable,3911,,10,0,Nov/22/1966,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
95,ABUGO-1,Not Applicable,2502,,795,0,Dec/18/1984,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
96,ABURA SOUTHEAST-1,Not Applicable,4385,,1201,0,Sep/17/1995,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
97,ABURA SOUTHEAST-2,Not Applicable,3704,,1201,0,Sep/16/1996,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
98,ABURA-1,Not Applicable,4338.2,,11,0,Dec/26/1973,5/29/2017 16:41,5/29/2017 22:58,N/A,7812
99,ABURA-10,Oil Producer,3763,,11,0,Sep/24/2004,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
100,ABURA-10ST,Oil Producer,3960,,11,0,Jan/31/2005,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
101,ABURA-2,Not Applicable,3794.8,,11,0,Apr/15/1974,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
102,ABURA-3,Not Applicable,4267.8,,11,0,Nov/06/1974,5/29/2017 16:41,5/29/2017 22:58,N/A,7814
103,ABURA-4,Oil Producer,4043.2,,11,0,Sep/07/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
104,ABURA-5,Oil Producer,4086.2,,11,0,Dec/30/1979,5/29/2017 16:41,5/29/2017 22:58,N/A,7813
